Index, Timestamp, Temperatur in Grad Celsius
0, 796.0, 73.31
1, 2010.0, 73.56
2, 3223.0, 73.81
3, 4435.0, 74.06
4, 5649.0, 74.31
5, 6862.0, 74.5
6, 8076.0, 74.75
7, 9290.0, 74.87
8, 10504.0, 75.0
9, 11717.0, 75.12
10, 12931.0, 75.19
11, 14144.0, 75.25
12, 15357.0, 75.31
13, 16571.0, 75.31
14, 17785.0, 75.37
15, 18999.0, 75.37
16, 20212.0, 75.44
17, 21426.0, 75.44
18, 22639.0, 75.5
19, 23854.0, 75.5
20, 25067.0, 75.5
21, 26280.0, 75.56
22, 27494.0, 75.56
23, 28707.0, 75.56
24, 29922.0, 75.62
25, 31135.0, 75.62
26, 32349.0, 75.62
27, 33562.0, 75.56
28, 34776.0, 75.5
29, 35990.0, 75.5
30, 37203.0, 75.5
31, 38417.0, 75.44
32, 39630.0, 75.37
33, 40844.0, 75.37
34, 42058.0, 75.37
35, 43272.0, 75.37
36, 44485.0, 75.37
37, 45699.0, 75.31
38, 46912.0, 75.25
39, 48125.0, 75.19
40, 49339.0, 75.19
41, 50553.0, 75.12
42, 51767.0, 75.12
43, 52980.0, 75.06
44, 54194.0, 75.06
45, 55407.0, 75.06
46, 56621.0, 75.06
47, 57834.0, 75.0
48, 59047.0, 74.94
49, 60261.0, 74.94
50, 61474.0, 74.87
51, 62688.0, 74.87
52, 63901.0, 74.81
53, 65115.0, 74.75
54, 66328.0, 74.69
55, 67542.0, 74.69
56, 68755.0, 74.62
57, 69968.0, 74.62
58, 71182.0, 74.62
59, 72395.0, 74.56
60, 73609.0, 74.5
61, 74822.0, 74.44
62, 76036.0, 74.37
63, 77249.0, 74.37
64, 78462.0, 74.37
65, 79676.0, 74.31
66, 80889.0, 74.25
67, 82103.0, 74.19
68, 83316.0, 74.19
69, 84530.0, 74.12
70, 85743.0, 74.06
71, 86957.0, 74.06
72, 88170.0, 74.0
73, 89383.0, 73.87
74, 90596.0, 73.87
75, 91809.0, 73.81
76, 93023.0, 73.81
77, 94236.0, 73.81
78, 95450.0, 73.81
79, 96663.0, 73.81
80, 97876.0, 73.75
81, 99090.0, 73.69
82, 100302.0, 73.62
83, 101516.0, 73.56
84, 102729.0, 73.5
85, 103943.0, 73.5
86, 105156.0, 73.5
87, 106370.0, 73.5
88, 107582.0, 73.44
89, 108795.0, 73.44
90, 110009.0, 73.44
91, 111222.0, 73.37
92, 112436.0, 73.31
93, 113648.0, 73.25
94, 114862.0, 73.19
95, 116075.0, 73.12
96, 117288.0, 73.06
97, 118502.0, 73.0
98, 119714.0, 73.0
99, 120928.0, 72.94
100, 122141.0, 72.87
101, 123355.0, 72.87
102, 124567.0, 72.81
103, 125780.0, 72.75
104, 126994.0, 72.75
105, 128207.0, 72.69
106, 129420.0, 72.62
107, 130633.0, 72.62
108, 131847.0, 72.56
109, 133060.0, 72.56
110, 134274.0, 72.5
111, 135486.0, 72.5
112, 136699.0, 72.5
113, 137913.0, 72.44
114, 139125.0, 72.44
115, 140339.0, 72.37
116, 141552.0, 72.31
117, 142765.0, 72.25
118, 143978.0, 72.25
119, 145191.0, 72.12
120, 146404.0, 72.12
121, 147617.0, 72.06
122, 148831.0, 72.06
123, 150043.0, 72.0
124, 151257.0, 72.0
125, 152470.0, 71.94
126, 153682.0, 71.87
127, 154896.0, 71.87
128, 156108.0, 71.87
129, 157322.0, 71.81
130, 158535.0, 71.75
131, 159748.0, 71.75
132, 160961.0, 71.69
133, 162173.0, 71.62
134, 163387.0, 71.62
135, 164600.0, 71.56
136, 165813.0, 71.5
137, 167026.0, 71.44
138, 168239.0, 71.37
139, 169452.0, 71.37
140, 170664.0, 71.31
141, 171878.0, 71.31
142, 173090.0, 71.31
143, 174304.0, 71.25
144, 175516.0, 71.25
145, 176730.0, 71.25
146, 177942.0, 71.19
147, 179155.0, 71.12
148, 180368.0, 71.12
149, 181581.0, 71.06
150, 182794.0, 71.0
151, 184006.0, 70.94
152, 185220.0, 70.87
153, 186432.0, 70.87
154, 187645.0, 70.81
155, 188858.0, 70.75
156, 190071.0, 70.75
157, 191284.0, 70.69
158, 192496.0, 70.69
159, 193710.0, 70.62
160, 194922.0, 70.62
161, 196135.0, 70.62
162, 197348.0, 70.56
163, 198560.0, 70.56
164, 199774.0, 70.5
165, 200986.0, 70.5
166, 202199.0, 70.5
167, 203412.0, 70.5
168, 204624.0, 70.44
169, 205838.0, 70.37
170, 207050.0, 70.31
171, 208263.0, 70.25
172, 209475.0, 70.19
173, 210689.0, 70.19
174, 211901.0, 70.12
175, 213113.0, 70.12
176, 214327.0, 70.06
177, 215539.0, 70.0
178, 216752.0, 70.0
179, 217965.0, 69.94
180, 219177.0, 69.87
181, 220390.0, 69.87
182, 221602.0, 69.81
183, 222816.0, 69.81
184, 224028.0, 69.75
185, 225241.0, 69.75
186, 226453.0, 69.69
187, 227665.0, 69.69
188, 228879.0, 69.62
189, 230091.0, 69.56
190, 231304.0, 69.56
191, 232516.0, 69.5
192, 233729.0, 69.44
193, 234941.0, 69.44
194, 236154.0, 69.37
195, 237367.0, 69.37
196, 238579.0, 69.31
197, 239792.0, 69.25
198, 241004.0, 69.25
199, 242216.0, 69.19
200, 243430.0, 69.19
201, 244642.0, 69.12
202, 245855.0, 69.12
203, 247067.0, 69.06
204, 248280.0, 69.06
205, 249492.0, 69.0
206, 250704.0, 68.94
207, 251917.0, 68.87
208, 253129.0, 68.87
209, 254343.0, 68.81
210, 255555.0, 68.75
211, 256768.0, 68.75
212, 257980.0, 68.69
213, 259192.0, 68.69
214, 260405.0, 68.62
215, 261617.0, 68.56
216, 262830.0, 68.56
217, 264042.0, 68.5
218, 265254.0, 68.5
219, 266467.0, 68.44
220, 267679.0, 68.44
221, 268892.0, 68.44
222, 270104.0, 68.37
223, 271316.0, 68.37
224, 272529.0, 68.31
225, 273741.0, 68.31
226, 274954.0, 68.25
227, 276166.0, 68.19
228, 277379.0, 68.12
229, 278591.0, 68.12
230, 279803.0, 68.06
231, 281016.0, 68.0
232, 282228.0, 68.0
233, 283441.0, 67.94
234, 284653.0, 67.87
235, 285865.0, 67.87
236, 287078.0, 67.81
237, 288289.0, 67.75
238, 289502.0, 67.75
239, 290714.0, 67.69
240, 291927.0, 67.69
241, 293139.0, 67.62
242, 294351.0, 67.56
243, 295564.0, 67.5
244, 296776.0, 67.5
245, 297988.0, 67.44
246, 299200.0, 67.37
247, 300412.0, 67.31
248, 301625.0, 67.31
249, 302837.0, 67.25
250, 304050.0, 67.25
251, 305261.0, 67.19
252, 306473.0, 67.19
253, 307686.0, 67.12
254, 308898.0, 67.12
255, 310111.0, 67.12
256, 311322.0, 67.12
257, 312535.0, 67.06
258, 313747.0, 67.06
259, 314959.0, 67.06
260, 316171.0, 67.0
261, 317383.0, 66.94
262, 318596.0, 66.94
263, 319808.0, 66.87
264, 321020.0, 66.81
265, 322232.0, 66.81
266, 323444.0, 66.75
267, 324657.0, 66.69
268, 325868.0, 66.69
269, 327080.0, 66.69
270, 328293.0, 66.62
271, 329505.0, 66.56
272, 330717.0, 66.56
273, 331929.0, 66.5
274, 333142.0, 66.5
275, 334353.0, 66.44
276, 335565.0, 66.44
277, 336778.0, 66.37
278, 337989.0, 66.37
279, 339202.0, 66.31
280, 340414.0, 66.31
281, 341625.0, 66.25
282, 342838.0, 66.25
283, 344050.0, 66.19
284, 345262.0, 66.19
285, 346474.0, 66.12
286, 347685.0, 66.12
287, 348898.0, 66.06
288, 350110.0, 66.06
289, 351322.0, 66.0
290, 352534.0, 65.94
291, 353746.0, 65.94
292, 354958.0, 65.87
293, 356170.0, 65.87
294, 357382.0, 65.81
295, 358594.0, 65.75
296, 359805.0, 65.75
297, 361018.0, 65.69
298, 362230.0, 65.62
299, 363442.0, 65.62
300, 364654.0, 65.56
301, 365865.0, 65.56
302, 367078.0, 65.5
303, 368289.0, 65.5
304, 369502.0, 65.5
305, 370713.0, 65.44
306, 371926.0, 65.37
307, 373137.0, 65.37
308, 374349.0, 65.31
309, 375561.0, 65.31
310, 376773.0, 65.25
311, 377985.0, 65.25
312, 379197.0, 65.19
313, 380408.0, 65.12
314, 381620.0, 65.12
315, 382832.0, 65.06
316, 384044.0, 65.06
317, 385256.0, 65.0
318, 386467.0, 64.94
319, 387680.0, 64.94
320, 388891.0, 64.87
321, 390104.0, 64.87
322, 391315.0, 64.81
323, 392526.0, 64.81
324, 393739.0, 64.81
325, 394950.0, 64.75
326, 396163.0, 64.69
327, 397374.0, 64.69
328, 398585.0, 64.62
329, 399798.0, 64.62
330, 401009.0, 64.56
331, 402221.0, 64.56
332, 403433.0, 64.56
333, 404644.0, 64.56
334, 405857.0, 64.5
335, 407068.0, 64.5
336, 408280.0, 64.44
337, 409492.0, 64.37
338, 410703.0, 64.37
339, 411915.0, 64.31
340, 413127.0, 64.31
341, 414339.0, 64.25
342, 415550.0, 64.25
343, 416762.0, 64.25
344, 417974.0, 64.19
345, 419185.0, 64.12
346, 420398.0, 64.12
347, 421609.0, 64.06
348, 422820.0, 64.06
349, 424032.0, 64.0
350, 425244.0, 63.94
351, 426456.0, 63.94
352, 427667.0, 63.88
353, 428878.0, 63.88
354, 430091.0, 63.81
355, 431302.0, 63.75
356, 432514.0, 63.75
357, 433725.0, 63.69
358, 434936.0, 63.69
359, 436148.0, 63.63
360, 437360.0, 63.63
361, 438572.0, 63.56
362, 439783.0, 63.56
363, 440994.0, 63.5
364, 442206.0, 63.5
365, 443418.0, 63.44
366, 444630.0, 63.44
367, 445841.0, 63.38
368, 447052.0, 63.38
369, 448264.0, 63.31
370, 449475.0, 63.31
371, 450688.0, 63.31
372, 451899.0, 63.25
373, 453110.0, 63.25
374, 454322.0, 63.19
375, 455533.0, 63.19
376, 456744.0, 63.13
377, 457956.0, 63.13
378, 459167.0, 63.06
379, 460380.0, 63.06
380, 461591.0, 63.06
381, 462802.0, 63.0
382, 464014.0, 63.0
383, 465225.0, 62.94
384, 466437.0, 62.94
385, 467648.0, 62.88
386, 468859.0, 62.88
387, 470071.0, 62.81
388, 471282.0, 62.75
389, 472494.0, 62.75
390, 473705.0, 62.69
391, 474917.0, 62.69
392, 476129.0, 62.63
393, 477340.0, 62.63
394, 478552.0, 62.56
395, 479763.0, 62.56
396, 480974.0, 62.5
397, 482186.0, 62.5
398, 483397.0, 62.44
399, 484609.0, 62.38
400, 485820.0, 62.38
401, 487031.0, 62.38
402, 488243.0, 62.31
403, 489454.0, 62.25
404, 490665.0, 62.25
405, 491877.0, 62.19
406, 493088.0, 62.19
407, 494300.0, 62.13
408, 495511.0, 62.13
409, 496722.0, 62.13
410, 497934.0, 62.06
411, 499145.0, 62.06
412, 500356.0, 62.0
413, 501567.0, 62.0
414, 502778.0, 61.94
415, 503990.0, 61.94
416, 505201.0, 61.94
417, 506413.0, 61.88
418, 507624.0, 61.81
419, 508835.0, 61.81
420, 510047.0, 61.81
421, 511258.0, 61.75
422, 512470.0, 61.75
423, 513681.0, 61.69
424, 514891.0, 61.69
425, 516103.0, 61.63
426, 517314.0, 61.63
427, 518525.0, 61.56
428, 519737.0, 61.56
429, 520948.0, 61.5
430, 522160.0, 61.5
431, 523371.0, 61.44
432, 524581.0, 61.44
433, 525793.0, 61.38
434, 527004.0, 61.38
435, 528216.0, 61.31
436, 529427.0, 61.31
437, 530637.0, 61.25
438, 531849.0, 61.25
439, 533060.0, 61.19
440, 534272.0, 61.19
441, 535483.0, 61.19
442, 536693.0, 61.13
443, 537905.0, 61.13
444, 539116.0, 61.13
445, 540327.0, 61.06
446, 541539.0, 61.06
447, 542749.0, 61.0
448, 543961.0, 61.0
449, 545172.0, 60.94
450, 546383.0, 60.94
451, 547595.0, 60.94
452, 548805.0, 60.88
453, 550017.0, 60.88
454, 551228.0, 60.81
455, 552439.0, 60.81
456, 553650.0, 60.75
457, 554861.0, 60.75
458, 556072.0, 60.75
459, 557283.0, 60.69
460, 558494.0, 60.69
461, 559706.0, 60.63
462, 560917.0, 60.63
463, 562127.0, 60.56
464, 563339.0, 60.56
465, 564550.0, 60.5
466, 565761.0, 60.5
467, 566972.0, 60.5
468, 568183.0, 60.44
469, 569394.0, 60.44
470, 570605.0, 60.38
471, 571816.0, 60.38
472, 573027.0, 60.31
473, 574238.0, 60.31
474, 575450.0, 60.25
475, 576660.0, 60.25
476, 577871.0, 60.19
477, 579083.0, 60.19
478, 580293.0, 60.19
479, 581505.0, 60.13
480, 582716.0, 60.13
481, 583926.0, 60.06
482, 585138.0, 60.06
483, 586348.0, 60.0
484, 587559.0, 60.0
485, 588771.0, 59.94
486, 589981.0, 59.94
487, 591193.0, 59.88
488, 592403.0, 59.88
489, 593614.0, 59.81
490, 594826.0, 59.81
491, 596036.0, 59.81
492, 597248.0, 59.75
493, 598458.0, 59.75
494, 599669.0, 59.69
495, 600880.0, 59.69
496, 602091.0, 59.63
497, 603302.0, 59.63
498, 604513.0, 59.56
499, 605724.0, 59.56
500, 606935.0, 59.5
501, 608146.0, 59.5
502, 609356.0, 59.44
503, 610568.0, 59.44
504, 611778.0, 59.38
505, 612989.0, 59.38
506, 614200.0, 59.38
507, 615411.0, 59.31
508, 616622.0, 59.31
509, 617833.0, 59.25
510, 619043.0, 59.25
511, 620255.0, 59.19
512, 621465.0, 59.19
513, 622676.0, 59.19
514, 623887.0, 59.13
515, 625098.0, 59.13
516, 626309.0, 59.13
517, 627520.0, 59.06
518, 628730.0, 59.06
519, 629941.0, 59.06
520, 631152.0, 59.0
521, 632363.0, 59.0
522, 633574.0, 59.0
523, 634784.0, 58.94
524, 635996.0, 58.94
525, 637206.0, 58.94
526, 638417.0, 58.88
527, 639628.0, 58.88
528, 640838.0, 58.81
529, 642050.0, 58.81
530, 643260.0, 58.81
531, 644471.0, 58.75
532, 645682.0, 58.75
533, 646893.0, 58.75
534, 648103.0, 58.69
535, 649314.0, 58.69
536, 650525.0, 58.63
537, 651736.0, 58.63
538, 652947.0, 58.56
539, 654157.0, 58.56
540, 655368.0, 58.56
541, 656579.0, 58.5
542, 657789.0, 58.5
543, 659000.0, 58.44
544, 660211.0, 58.44
545, 661422.0, 58.38
546, 662632.0, 58.38
547, 663843.0, 58.31
548, 665054.0, 58.31
549, 666264.0, 58.25
550, 667475.0, 58.25
551, 668686.0, 58.25
552, 669896.0, 58.19
553, 671108.0, 58.19
554, 672318.0, 58.13
555, 673528.0, 58.13
556, 674740.0, 58.06
557, 675950.0, 58.06
558, 677160.0, 58.06
559, 678372.0, 58.0
560, 679582.0, 58.0
561, 680793.0, 58.0
562, 682003.0, 57.94
563, 683214.0, 57.94
564, 684425.0, 57.88
565, 685635.0, 57.88
566, 686845.0, 57.88
567, 688057.0, 57.81
568, 689267.0, 57.81
569, 690478.0, 57.81
570, 691688.0, 57.75
571, 692899.0, 57.75
572, 694110.0, 57.69
573, 695320.0, 57.69
574, 696530.0, 57.63
575, 697742.0, 57.63
576, 698952.0, 57.56
577, 700163.0, 57.56
578, 701373.0, 57.56
579, 702583.0, 57.5
580, 703795.0, 57.5
581, 705005.0, 57.5
582, 706215.0, 57.44
583, 707426.0, 57.44
584, 708636.0, 57.44
585, 709848.0, 57.38
586, 711058.0, 57.38
587, 712268.0, 57.38
588, 713479.0, 57.31
589, 714689.0, 57.31
590, 715900.0, 57.31
591, 717111.0, 57.31
592, 718321.0, 57.25
593, 719532.0, 57.25
594, 720742.0, 57.19
595, 721953.0, 57.19
596, 723164.0, 57.13
597, 724374.0, 57.13
598, 725584.0, 57.06
599, 726795.0, 57.06
600, 728005.0, 57.06
601, 729216.0, 57.0
602, 730426.0, 57.0
603, 731637.0, 56.94
604, 732848.0, 56.94
605, 734058.0, 56.94
606, 735268.0, 56.88
607, 736479.0, 56.88
608, 737689.0, 56.88
609, 738899.0, 56.81
610, 740110.0, 56.81
611, 741320.0, 56.75
612, 742532.0, 56.75
613, 743742.0, 56.75
614, 744952.0, 56.69
615, 746163.0, 56.69
616, 747373.0, 56.63
617, 748583.0, 56.63
618, 749794.0, 56.63
619, 751004.0, 56.56
620, 752215.0, 56.56
621, 753425.0, 56.5
622, 754635.0, 56.5
623, 755846.0, 56.44
624, 757056.0, 56.44
625, 758266.0, 56.44
626, 759477.0, 56.38
627, 760687.0, 56.38
628, 761899.0, 56.31
629, 763109.0, 56.31
630, 764319.0, 56.31
631, 765530.0, 56.25
632, 766740.0, 56.25
633, 767950.0, 56.25
634, 769161.0, 56.19
635, 770371.0, 56.19
636, 771581.0, 56.19
637, 772792.0, 56.13
638, 774002.0, 56.13
639, 775213.0, 56.13
640, 776423.0, 56.06
641, 777633.0, 56.06
642, 778844.0, 56.06
643, 780054.0, 56.0
644, 781264.0, 56.0
645, 782475.0, 55.94
646, 783685.0, 55.94
647, 784896.0, 55.88
648, 786106.0, 55.88
649, 787316.0, 55.88
650, 788527.0, 55.81
651, 789736.0, 55.81
652, 790946.0, 55.81
653, 792157.0, 55.75
654, 793367.0, 55.75
655, 794577.0, 55.75
656, 795788.0, 55.69
657, 796998.0, 55.69
658, 798209.0, 55.63
659, 799419.0, 55.63
660, 800629.0, 55.63
661, 801840.0, 55.56
662, 803050.0, 55.56
663, 804260.0, 55.56
664, 805471.0, 55.5
665, 806680.0, 55.5
666, 807890.0, 55.5
667, 809101.0, 55.44
668, 810311.0, 55.44
669, 811522.0, 55.44
670, 812732.0, 55.38
671, 813942.0, 55.38
672, 815153.0, 55.38
673, 816363.0, 55.31
674, 817573.0, 55.31
675, 818783.0, 55.25
676, 819993.0, 55.25
677, 821203.0, 55.25
678, 822414.0, 55.25
679, 823624.0, 55.31
680, 824835.0, 55.31
681, 826045.0, 55.31
682, 827255.0, 55.31
683, 828466.0, 55.25
684, 829675.0, 55.25
685, 830885.0, 55.25
686, 832096.0, 55.25
687, 833306.0, 55.25
688, 834516.0, 55.19
689, 835727.0, 55.19
690, 836937.0, 55.19
691, 838147.0, 55.13
692, 839357.0, 55.13
693, 840567.0, 55.13
694, 841778.0, 55.13
695, 842988.0, 55.06
696, 844198.0, 55.06
697, 845409.0, 55.06
698, 846619.0, 55.0
699, 847828.0, 55.0
700, 849039.0, 55.0
701, 850249.0, 54.94
702, 851460.0, 54.94
703, 852670.0, 54.94
704, 853879.0, 54.88
705, 855090.0, 54.88
706, 856300.0, 54.88
707, 857510.0, 54.81
708, 858721.0, 54.81
709, 859930.0, 54.81
710, 861140.0, 54.75
711, 862351.0, 54.75
712, 863561.0, 54.75
713, 864772.0, 54.69
714, 865981.0, 54.69
715, 867191.0, 54.69
716, 868402.0, 54.63
717, 869612.0, 54.63
718, 870822.0, 54.63
719, 872032.0, 54.63
720, 873242.0, 54.56
721, 874452.0, 54.56
722, 875663.0, 54.56
723, 876872.0, 54.5
724, 878083.0, 54.5
725, 879293.0, 54.44
726, 880503.0, 54.44
727, 881713.0, 54.44
728, 882923.0, 54.44
729, 884133.0, 54.38
730, 885343.0, 54.38
731, 886553.0, 54.38
732, 887763.0, 54.31
733, 888974.0, 54.31
734, 890183.0, 54.31
735, 891394.0, 54.25
736, 892604.0, 54.25
737, 893813.0, 54.25
738, 895024.0, 54.19
739, 896234.0, 54.19
740, 897444.0, 54.13
741, 898654.0, 54.13
742, 899864.0, 54.13
743, 901074.0, 54.13
744, 902284.0, 54.06
745, 903494.0, 54.06
746, 904705.0, 54.06
747, 905914.0, 54.0
748, 907124.0, 54.0
749, 908335.0, 54.0
750, 909544.0, 53.94
751, 910754.0, 53.94
752, 911965.0, 53.94
753, 913174.0, 53.88
754, 914384.0, 53.88
755, 915595.0, 53.88
756, 916804.0, 53.81
757, 918014.0, 53.81
758, 919225.0, 53.81
759, 920434.0, 53.75
760, 921645.0, 53.75
761, 922855.0, 53.75
762, 924064.0, 53.69
763, 925275.0, 53.69
764, 926484.0, 53.69
765, 927694.0, 53.63
766, 928905.0, 53.63
767, 930114.0, 53.63
768, 931324.0, 53.56
769, 932534.0, 53.56
770, 933744.0, 53.56
771, 934955.0, 53.56
772, 936164.0, 53.5
773, 937374.0, 53.5
774, 938585.0, 53.5
775, 939794.0, 53.44
776, 941004.0, 53.44
777, 942214.0, 53.44
778, 943424.0, 53.38
779, 944634.0, 53.38
780, 945844.0, 53.38
781, 947054.0, 53.31
782, 948263.0, 53.31
783, 949474.0, 53.31
784, 950683.0, 53.31
785, 951894.0, 53.25
786, 953103.0, 53.25
787, 954313.0, 53.19
788, 955524.0, 53.19
789, 956733.0, 53.19
790, 957943.0, 53.19
791, 959153.0, 53.13
792, 960363.0, 53.13
793, 961572.0, 53.13
794, 962783.0, 53.06
795, 963992.0, 53.06
796, 965202.0, 53.06
797, 966412.0, 53.0
798, 967622.0, 53.0
799, 968832.0, 53.0
800, 970042.0, 53.0
801, 971252.0, 52.94
802, 972462.0, 52.94
803, 973672.0, 52.88
804, 974881.0, 52.88
805, 976091.0, 52.88
806, 977301.0, 52.88
807, 978510.0, 52.81
808, 979721.0, 52.81
809, 980930.0, 52.81
810, 982140.0, 52.75
811, 983350.0, 52.75
812, 984560.0, 52.75
813, 985769.0, 52.69
814, 986980.0, 52.69
815, 988189.0, 52.69
816, 989400.0, 52.63
817, 990609.0, 52.63
818, 991819.0, 52.63
819, 993029.0, 52.56
820, 994239.0, 52.56
821, 995448.0, 52.56
822, 996659.0, 52.5
823, 997868.0, 52.5
824, 999077.0, 52.5
825, 1000288.0, 52.5
826, 1001497.0, 52.44
827, 1002707.0, 52.44
828, 1003917.0, 52.44
829, 1005127.0, 52.44
830, 1006337.0, 52.38
831, 1007547.0, 52.38
832, 1008756.0, 52.38
833, 1009967.0, 52.31
834, 1011176.0, 52.31
835, 1012386.0, 52.31
836, 1013596.0, 52.25
837, 1014806.0, 52.25
838, 1016015.0, 52.25
839, 1017226.0, 52.19
840, 1018435.0, 52.19
841, 1019644.0, 52.19
842, 1020855.0, 52.19
843, 1022064.0, 52.13
844, 1023275.0, 52.13
845, 1024484.0, 52.13
846, 1025694.0, 52.06
847, 1026904.0, 52.06
848, 1028114.0, 52.06
849, 1029323.0, 52.0
850, 1030533.0, 52.0
851, 1031743.0, 52.0
852, 1032952.0, 51.94
853, 1034163.0, 51.94
854, 1035372.0, 51.94
855, 1036581.0, 51.94
856, 1037792.0, 51.88
857, 1039001.0, 51.88
858, 1040211.0, 51.88
859, 1041421.0, 51.88
860, 1042630.0, 51.81
861, 1043841.0, 51.81
862, 1045050.0, 51.81
863, 1046259.0, 51.81
864, 1047470.0, 51.75
865, 1048679.0, 51.75
866, 1049889.0, 51.69
867, 1051099.0, 51.69
868, 1052308.0, 51.69
869, 1053518.0, 51.69
870, 1054728.0, 51.63
871, 1055937.0, 51.63
872, 1057147.0, 51.63
873, 1058357.0, 51.63
874, 1059566.0, 51.56
875, 1060776.0, 51.56
876, 1061986.0, 51.56
877, 1063195.0, 51.5
878, 1064406.0, 51.5
879, 1065615.0, 51.5
880, 1066824.0, 51.44
881, 1068035.0, 51.44
882, 1069244.0, 51.44
883, 1070453.0, 51.38
884, 1071664.0, 51.38
885, 1072873.0, 51.38
886, 1074082.0, 51.38
887, 1075293.0, 51.31
888, 1076502.0, 51.31
889, 1077711.0, 51.25
890, 1078921.0, 51.25
891, 1080131.0, 51.25
892, 1081340.0, 51.25
893, 1082550.0, 51.25
894, 1083760.0, 51.19
895, 1084969.0, 51.19
896, 1086179.0, 51.19
897, 1087388.0, 51.13
898, 1088599.0, 51.13
899, 1089808.0, 51.13
900, 1091017.0, 51.13
901, 1092227.0, 51.06
902, 1093437.0, 51.06
903, 1094646.0, 51.06
904, 1095856.0, 51.0
905, 1097065.0, 51.0
906, 1098275.0, 51.0
907, 1099485.0, 51.0
908, 1100694.0, 50.94
909, 1101903.0, 50.94
910, 1103114.0, 50.94
911, 1104323.0, 50.88
912, 1105532.0, 50.88
913, 1106742.0, 50.88
914, 1107952.0, 50.88
915, 1109161.0, 50.81
916, 1110371.0, 50.81
917, 1111580.0, 50.81
918, 1112791.0, 50.75
919, 1114000.0, 50.75
920, 1115209.0, 50.75
921, 1116419.0, 50.75
922, 1117628.0, 50.69
923, 1118838.0, 50.69
924, 1120048.0, 50.69
925, 1121257.0, 50.63
926, 1122466.0, 50.63
927, 1123676.0, 50.63
928, 1124885.0, 50.63
929, 1126095.0, 50.56
930, 1127305.0, 50.56
931, 1128514.0, 50.56
932, 1129723.0, 50.5
933, 1130933.0, 50.5
934, 1132143.0, 50.5
935, 1133352.0, 50.5
936, 1134562.0, 50.5
937, 1135771.0, 50.44
938, 1136980.0, 50.44
939, 1138191.0, 50.44
940, 1139400.0, 50.38
941, 1140610.0, 50.38
942, 1141819.0, 50.38
943, 1143028.0, 50.31
944, 1144238.0, 50.31
945, 1145447.0, 50.31
946, 1146657.0, 50.31
947, 1147867.0, 50.31
948, 1149076.0, 50.25
949, 1150285.0, 50.25
950, 1151495.0, 50.25
951, 1152704.0, 50.19
952, 1153913.0, 50.19
953, 1155124.0, 50.19
954, 1156333.0, 50.19
955, 1157542.0, 50.13
956, 1158752.0, 50.13
957, 1159961.0, 50.13
958, 1161170.0, 50.06
959, 1162380.0, 50.06
960, 1163589.0, 50.06
961, 1164800.0, 50.06
962, 1166009.0, 50.0
963, 1167218.0, 50.0
964, 1168428.0, 50.0
965, 1169637.0, 49.94
966, 1170846.0, 49.94
967, 1172056.0, 49.94
968, 1173265.0, 49.94
969, 1174474.0, 49.94
970, 1175684.0, 49.88
971, 1176894.0, 49.88
972, 1178103.0, 49.88
973, 1179313.0, 49.88
974, 1180522.0, 49.88
975, 1181731.0, 49.81
976, 1182941.0, 49.81
977, 1184150.0, 49.81
978, 1185359.0, 49.75
979, 1186569.0, 49.75
980, 1187778.0, 49.75
981, 1188987.0, 49.75
982, 1190197.0, 49.69
983, 1191406.0, 49.69
984, 1192615.0, 49.69
985, 1193825.0, 49.63
986, 1195034.0, 49.63
987, 1196243.0, 49.63
988, 1197454.0, 49.63
989, 1198663.0, 49.56
990, 1199873.0, 49.56
991, 1201082.0, 49.56
992, 1202291.0, 49.56
993, 1203501.0, 49.5
994, 1204710.0, 49.5
995, 1205919.0, 49.5
996, 1207129.0, 49.5
997, 1208338.0, 49.5
998, 1209547.0, 49.44
999, 1210757.0, 49.44
1000, 1211966.0, 49.38
1001, 1213175.0, 49.44
1002, 1214385.0, 49.38
1003, 1215594.0, 49.38
1004, 1216803.0, 49.38
1005, 1218013.0, 49.31
1006, 1219222.0, 49.31
1007, 1220431.0, 49.31
1008, 1221641.0, 49.25
1009, 1222850.0, 49.25
1010, 1224059.0, 49.25
1011, 1225269.0, 49.25
1012, 1226478.0, 49.19
1013, 1227687.0, 49.19
1014, 1228897.0, 49.19
1015, 1230106.0, 49.19
1016, 1231315.0, 49.19
1017, 1232525.0, 49.13
1018, 1233734.0, 49.13
1019, 1234944.0, 49.13
1020, 1236153.0, 49.06
1021, 1237362.0, 49.06
1022, 1238572.0, 49.06
1023, 1239781.0, 49.06
1024, 1240990.0, 49.0
1025, 1242200.0, 49.0
1026, 1243409.0, 49.0
1027, 1244618.0, 49.0
1028, 1245828.0, 48.94
1029, 1247037.0, 48.94
1030, 1248246.0, 48.94
1031, 1249456.0, 48.88
1032, 1250665.0, 48.88
1033, 1251874.0, 48.88
1034, 1253084.0, 48.88
1035, 1254293.0, 48.88
1036, 1255502.0, 48.81
1037, 1256712.0, 48.81
1038, 1257921.0, 48.81
1039, 1259130.0, 48.81
1040, 1260340.0, 48.75
1041, 1261549.0, 48.75
1042, 1262758.0, 48.75
1043, 1263968.0, 48.75
1044, 1265177.0, 48.69
1045, 1266386.0, 48.69
1046, 1267596.0, 48.69
1047, 1268805.0, 48.63
1048, 1270014.0, 48.63
1049, 1271224.0, 48.63
1050, 1272433.0, 48.63
1051, 1273643.0, 48.56
1052, 1274852.0, 48.56
